pillar_id,topic_index,source_slug,source_title,intent_group,disposition,canonical_target,reason,source_line
p01,0,ai-agents,"AI Agents Core & Definitions",pillar,build_now,/ai-agents,"AI Agents Core & Definitions",2
p01,1,ai-agents-for-startups,"AI Agents For Startups",persona,build_now,/ai-agents-for-startups,"Distinct persona with evidence-backed vendor pricing already in ledger.",3
p01,2,ai-agents-for-small-business,"AI Agents For Small Business",persona,needs_more_research,/ai-agents-for-small-business,"Persona-specific evidence required; deferred to persona wave.",4
p01,3,ai-agents-for-enterprises,"AI Agents For Enterprises",persona,needs_more_research,/ai-agents-for-enterprises,"Persona-specific evidence required; deferred to persona wave.",5
p01,4,ai-agents-for-solopreneurs,"AI Agents For Solopreneurs",persona,needs_more_research,/ai-agents-for-solopreneurs,"Persona-specific evidence required; deferred to persona wave.",6
p01,5,ai-agents-for-freelancers,"AI Agents For Freelancers",persona,needs_more_research,/ai-agents-for-freelancers,"Persona-specific evidence required; deferred to persona wave.",7
p01,6,ai-agents-for-students,"AI Agents For Students",persona,needs_more_research,/ai-agents-for-students,"Persona-specific evidence required; deferred to persona wave.",8
p01,7,ai-agents-for-developers,"AI Agents For Developers",persona,needs_more_research,/ai-agents-for-developers,"Persona-specific evidence required; deferred to persona wave.",9
p01,8,ai-agents-for-agencies,"AI Agents For Agencies",persona,needs_more_research,/ai-agents-for-agencies,"Persona-specific evidence required; deferred to persona wave.",10
p01,9,ai-agents-for-consultants,"AI Agents For Consultants",persona,needs_more_research,/ai-agents-for-consultants,"Persona-specific evidence required; deferred to persona wave.",11
p01,10,ai-agents-for-nonprofits,"AI Agents For Nonprofits",persona,needs_more_research,/ai-agents-for-nonprofits,"Persona-specific evidence required; deferred to persona wave.",12
p01,11,ai-agents-for-ctos,"AI Agents For Ctos",persona,needs_more_research,/ai-agents-for-ctos,"Persona-specific evidence required; deferred to persona wave.",13
p01,12,ai-agents-for-founders,"AI Agents For Founders",persona,merge_redirect,/ai-agents-for-startups,"Intent overlaps with topic_index 1 (ai-agents-for-startups); merge.",14
p01,13,ai-agents-automation,"AI Agents Automation",workflow,needs_more_research,/ai-agents-automation,"Workflow-specific evidence required; deferred to workflow wave.",15
p01,14,ai-agents-workflow,"AI Agents Workflow",workflow,merge_redirect,/agentic-workflows,"Duplicates /agentic-workflows; merge into the canonical sibling.",16
p01,15,ai-agents-lead-generation,"AI Agents Lead Generation",workflow,needs_more_research,/ai-agents-lead-generation,"Workflow-specific evidence required; deferred to workflow wave.",17
p01,16,ai-agents-data-analysis,"AI Agents Data Analysis",workflow,needs_more_research,/ai-agents-data-analysis,"Workflow-specific evidence required; deferred to workflow wave.",18
