claimId,page,section,exactClaim,classification,sourceId,sourceUrl,sourceType,authorityScore,passageQuote,locator,retrievedAt,temporalValidity,jurisdiction,reviewStatus
,editorial-methodology,,"---
slug: editorial-methodology
title: ""Editorial Methodology — How BestAIAgent.in Reviews, Scores, and Publishes""
description: ""How BestAIAgent.in authors, reviews, and publishes AI agent content: editorial independence, source hierarchy, corrections, and author identification.""
canonicalUrl: ""https://bestaiagent.in/trust/editorial-methodology""
pillarGroup: core
pageClass: methodology
lifecycleStatus: published
publicationEligible: true
lifecycleVersion: 2026-08-22
requiredEvidenceClass: STANDARD
sources:
  - ""Internal editorial charter (this site)""
  - ""Anthropic — Claude's Constitution (https://www.anthropic.com/news/claudes-constitution)""
  - ""OpenAI — Function Calling (https://platform.openai.com/docs/guides/function-calling)""
---

# Editorial Methodology

BestAIAgent.in publishes entity and topic authority content about AI agents for Indian developers, startups, enterprises, and regulated organizations.",removed,,,,,"---
slug: editorial-methodology
title: ""Editorial Methodology — How BestAIAgent.in Reviews, Scores, and Publishes""
description: ""How BestAIAgent.in authors, reviews, and publishes AI agent content: editorial independence, source hierarchy, corrections, and author identification.""
canonicalUrl: ""https://bestaiagent.in/trust/editorial-methodology""
pillarGroup: core
pageClass: methodology
lifecycleStatus: published
publicationEligible: true
lifecycleVersion: 2026-08-22
requiredEvidenceClass: STANDARD
sources:
  - ""Internal editorial charter (this site)""
  - ""Anthropic — Claude's Constitution (https://www.anthropic.com/news/claudes-constitution)""
  - ""OpenAI — Function Calling (https://platform.openai.com/docs/guides/function-calling)""
---

# Editorial Methodology

BestAIAgent.in publishes entity and topic authority content about AI agents for Indian developers, startups, enterprises, and regulated organizations.",,,,,
,editorial-methodology,,"## Related methodology pages

- [Evidence methodology](/trust/evidence-methodology)
- [Rating methodology](/trust/rating-methodology)
- [Comparison methodology](/trust/comparison-methodology)
- [Source classification](/trust/source-classification)
- [Corrections and version history](/trust/corrections)
- [Freshness policy](/trust/freshness-policy)
- [Affiliate disclosure](/trust/affiliate-disclosure)
- [Author / reviewer policy](/trust/author-reviewer-policy)
- [Privacy and DPDP editorial policy](/trust/privacy-dpdp-editorial-policy)

## Source receipts

- Anthropic — Claude's Constitution (primary, retrieved 2026-08-22).",unresolved,,,,,"## Related methodology pages

- [Evidence methodology](/trust/evidence-methodology)
- [Rating methodology](/trust/rating-methodology)
- [Comparison methodology](/trust/comparison-methodology)
- [Source classification](/trust/source-classification)
- [Corrections and version history](/trust/corrections)
- [Freshness policy](/trust/freshness-policy)
- [Affiliate disclosure](/trust/affiliate-disclosure)
- [Author / reviewer policy](/trust/author-reviewer-policy)
- [Privacy and DPDP editorial policy](/trust/privacy-dpdp-editorial-policy)

## Source receipts

- Anthropic — Claude's Constitution (primary, retrieved 2026-08-22).",,,,,
,evidence-methodology,,"## Related methodology pages

- [Editorial methodology](/trust/editorial-methodology)
- [Rating methodology](/trust/rating-methodology)
- [Comparison methodology](/trust/comparison-methodology)
- [Source classification](/trust/source-classification)
- [Freshness policy](/trust/freshness-policy)
- [Corrections](/trust/corrections)
- [Author and reviewer policy](/trust/author-reviewer-policy) — reviewer requirements
- [Privacy and DPDP editorial policy](/trust/privacy-dpdp-editorial-policy) — evidence standards for legal claims

## Source receipts

- Internal — `src/data/evidenceSchema.ts` (`EVIDENCE_RULES`, retrieved 2026-08-22).",unresolved,,,,,"## Related methodology pages

- [Editorial methodology](/trust/editorial-methodology)
- [Rating methodology](/trust/rating-methodology)
- [Comparison methodology](/trust/comparison-methodology)
- [Source classification](/trust/source-classification)
- [Freshness policy](/trust/freshness-policy)
- [Corrections](/trust/corrections)
- [Author and reviewer policy](/trust/author-reviewer-policy) — reviewer requirements
- [Privacy and DPDP editorial policy](/trust/privacy-dpdp-editorial-policy) — evidence standards for legal claims

## Source receipts

- Internal — `src/data/evidenceSchema.ts` (`EVIDENCE_RULES`, retrieved 2026-08-22).",,,,,
,privacy-dpdp-editorial-policy,,"---
slug: privacy-dpdp-editorial-policy
title: ""Privacy and DPDP Editorial Policy""
description: ""BestAIAgent.in's editorial policy on India privacy law, the Digital Personal Data Protection Act 2023, and how compliance claims are evidenced on this site.""
canonicalUrl: ""https://bestaiagent.in/trust/privacy-dpdp-editorial-policy""
pillarGroup: india
pageClass: methodology
lifecycleStatus: published
publicationEligible: true
lifecycleVersion: 2026-08-22
requiredEvidenceClass: CRITICAL
sources:
  - ""Government of India — Digital Personal Data Protection Act, 2023 (https://www.meity.gov.in/content/digital-personal-data-protection-act-2023)""
  - ""GST Council — Rate Schedule (https://gstcouncil.gov.in/sites/default/default/files/Rate%20Schedule%20-%20GST.pdf)""
---

# Privacy and DPDP Editorial Policy

Pages on BestAIAgent.in that touch on Indian data protection law, GST, cross-border data transfer, or India-region product availability must satisfy the `CRITICAL` evidence gate.",unresolved,,,,,"---
slug: privacy-dpdp-editorial-policy
title: ""Privacy and DPDP Editorial Policy""
description: ""BestAIAgent.in's editorial policy on India privacy law, the Digital Personal Data Protection Act 2023, and how compliance claims are evidenced on this site.""
canonicalUrl: ""https://bestaiagent.in/trust/privacy-dpdp-editorial-policy""
pillarGroup: india
pageClass: methodology
lifecycleStatus: published
publicationEligible: true
lifecycleVersion: 2026-08-22
requiredEvidenceClass: CRITICAL
sources:
  - ""Government of India — Digital Personal Data Protection Act, 2023 (https://www.meity.gov.in/content/digital-personal-data-protection-act-2023)""
  - ""GST Council — Rate Schedule (https://gstcouncil.gov.in/sites/default/default/files/Rate%20Schedule%20-%20GST.pdf)""
---

# Privacy and DPDP Editorial Policy

Pages on BestAIAgent.in that touch on Indian data protection law, GST, cross-border data transfer, or India-region product availability must satisfy the `CRITICAL` evidence gate.",,,,,
,privacy-dpdp-editorial-policy,,"MeitY for DPDP, the GST Council for tax rates).",unresolved,,,,,"MeitY for DPDP, the GST Council for tax rates).",,,,,
,privacy-dpdp-editorial-policy,,"## What we refuse to claim

- We do not state that a product ""is DPDP-compliant"" without a primary source (vendor privacy policy, audit report, or certification) that supports the claim.",unresolved,,,,,"## What we refuse to claim

- We do not state that a product ""is DPDP-compliant"" without a primary source (vendor privacy policy, audit report, or certification) that supports the claim.",,,,,
,privacy-dpdp-editorial-policy,,"The DPDP Act and its draft rules specify timelines that depend on the nature of the breach and the responsible party's classification.",unresolved,,,,,"The DPDP Act and its draft rules specify timelines that depend on the nature of the breach and the responsible party's classification.",,,,,
,privacy-dpdp-editorial-policy,,"- We state the GST rate applicable to software / IT services in India, with a primary source citation to the GST Council Rate Schedule.",unresolved,,,,,"- We state the GST rate applicable to software / IT services in India, with a primary source citation to the GST Council Rate Schedule.",,,,,
,privacy-dpdp-editorial-policy,,"- GST Council — Rate Schedule (primary, retrieved 2026-08-22).",unresolved,,,,,"- GST Council — Rate Schedule (primary, retrieved 2026-08-22).",,,,,
,privacy-dpdp-editorial-policy,,"Cited as the source for the 18% GST rate referenced on India pricing pages.",unresolved,,,,,"Cited as the source for the 18% GST rate referenced on India pricing pages.",,,,,
